2022-07-16_23-15-29 [RMI TCP Connection(104)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
2022-07-17_00-50-34 [main] INFO  c.c.q.QuotesmicroserviceApplication - Starting QuotesmicroserviceApplication using Java 17.0.2 on ADITYA with PID 13004 (D:\Work\CTS Learning\MFPE Projects\PAS-FINAL\quotesmicroservice\target\classes started by Aditya in D:\Work\CTS Learning\MFPE Projects\PAS-FINAL\quotesmicroservice)
2022-07-17_00-50-34 [main] INFO  c.c.q.QuotesmicroserviceApplication - No active profile set, falling back to 1 default profile: "default"
2022-07-17_00-50-34 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=c85c6a7c-4ba9-3b72-99e9-f0bb6fb43a1e
2022-07-17_00-50-34 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9004 (http)
2022-07-17_00-50-34 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9004"]
2022-07-17_00-50-34 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2022-07-17_00-50-34 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.64]
2022-07-17_00-50-34 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-07-17_00-50-34 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1090 ms
2022-07-17_00-50-34 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9004"]
2022-07-17_00-50-34 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9004 (http) with context path ''
2022-07-17_00-50-34 [main] INFO  c.c.q.QuotesmicroserviceApplication - Started QuotesmicroserviceApplication in 2.986 seconds (JVM running for 3.715)
2022-07-17_00-50-34 [RMI TCP Connection(11)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
2022-07-17_00-52-28 [main] INFO  c.c.q.QuotesmicroserviceApplication - Starting QuotesmicroserviceApplication using Java 17.0.2 on ADITYA with PID 12464 (D:\Work\CTS Learning\MFPE Projects\PAS-FINAL\quotesmicroservice\target\classes started by Aditya in D:\Work\CTS Learning\MFPE Projects\PAS-FINAL\quotesmicroservice)
2022-07-17_00-52-28 [main] INFO  c.c.q.QuotesmicroserviceApplication - No active profile set, falling back to 1 default profile: "default"
2022-07-17_00-52-28 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=c85c6a7c-4ba9-3b72-99e9-f0bb6fb43a1e
2022-07-17_00-52-28 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9004 (http)
2022-07-17_00-52-28 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9004"]
2022-07-17_00-52-28 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
